ItemNum,ItemName,Dept_ID,Category_ID,Category_Name
0000000123,AVO CLASSIC NO 2,6,PRMCIGAR,PREMIUM CIGAR
000001,A.F. PRIVADA #1 NATURAL,6,PRMCIGAR,PREMIUM CIGAR
000003,GUAPOS 46 MADURO,6,PRMCIGAR,PREMIUM CIGAR
000009,AF BEST SELLER,6,PRMCIGAR,PREMIUM CIGAR
00001,TOBACCO,1,NONE,NONE
000010,MELANIO MADURO ROBUSTO,6,PRMCIGAR,PREMIUM CIGAR
000012,CIGRT PACK,2,CGRTPACK,CIGRT PACK
0000123,CIGRT CARTON,3,1,CIG CARTON
000012345,NOVELTY,5,NOVELTY,NOVELTY
0000123456789,COUPON,16,COUPON,COUPON
000012345678910,PREMIUM CIGAR,6,PRMCIGAR,PREMIUM CIGAR
00001234569,AVO NO 3,6,PRMCIGAR,PREMIUM CIGAR
000017,AIR FRESHNER,5,NOVELTY,NOVELTY
0001,CIGAR HOLDER,5,NOVELTY,NOVELTY
00010,MELANIO ROBUSTO V,6,PRMCIGAR,PREMIUM CIGAR
000105,OLIVIA MELANIO 6X60,6,PRMCIGAR,PREMIUM CIGAR
000106,MELANIO MADURO TORPEDO,6,PRMCIGAR,PREMIUM CIGAR
00011,MELANIO FIGURADO,6,PRMCIGAR,PREMIUM CIGAR
0002,CIGARETTE HOLDER,5,NOVELTY,NOVELTY
000210,FAMILY RESERVE NO 45 MADURO,6,PRMCIGAR,PREMIUM CIGAR
000221,MI DOMINICANA,6,PRMCIGAR,PREMIUM CIGAR
00023515,KING PALM SINGLES,1,NONE,NONE
0003,CIGAR HOLDER 2,5,NOVELTY,NOVELTY
000301,SERIES G CHURCHILL,6,PRMCIGAR,PREMIUM CIGAR
000306,STUMPY,5,NOVELTY,NOVELTY
000308,BAMBINO RDA,5,NOVELTY,NOVELTY
000309,DARK HORSE RDA,5,NOVELTY,NOVELTY
000310,KENEDY RDA,5,NOVELTY,NOVELTY
000311,BUDDHA RDA,5,NOVELTY,NOVELTY
000316,CONTINENTAL MOD,1,NONE,NONE
000318,MELANIO V TORPEDO,6,PRMCIGAR,PREMIUM CIGAR
000319,MELANIO NO.4,6,PRMCIGAR,PREMIUM CIGAR
0005,POKER CIGARETTE CASE,5,NOVELTY,NOVELTY
0006,CIGARETTE HOLDER,5,NOVELTY,NOVELTY
000610007000,STONEWALL NATURAL,1,NONE,NONE
000610504004,STONEWALL JAVA,1,NONE,NONE
0007,CIGARETTE HOLDER FLOWER,5,NOVELTY,NOVELTY
000701,ROTCHILD NATURAL,6,PRMCIGAR,PREMIUM CIGAR
0008,METAL CIGARETTE CASE,5,NOVELTY,NOVELTY
0009,STAINLESS STEEL FLASK,5,NOVELTY,NOVELTY
0010,ALUMINUM CIG BOX,5,NOVELTY,NOVELTY
001001,SIGNATURE RESERVA ESP,6,PRMCIGAR,PREMIUM CIGAR
001003,ROYAL SALUTE MADURO,6,PRMCIGAR,PREMIUM CIGAR
001004,AF SPANISH LONSDALE MAD.,6,PRMCIGAR,PREMIUM CIGAR
0010069684,CLASSIC ROBUSTO,6,PRMCIGAR,PREMIUM CIGAR
0010069707,CLASSIC PERFECTO,6,PRMCIGAR,PREMIUM CIGAR
0010072097,COROJO OSCURO ROBUSTO,6,PRMCIGAR,PREMIUM CIGAR
0010072905,HABANO ROBUSTO,6,PRMCIGAR,PREMIUM CIGAR
001030,ROYAL SALUTE NATURAL,6,PRMCIGAR,PREMIUM CIGAR
0011,LEATHER CIG HOLDER,5,NOVELTY,NOVELTY
001213,L.A.D.C.MIAMOR,6,PRMCIGAR,PREMIUM CIGAR
00121333,AF 8-5-8 NATURAL,6,PRMCIGAR,PREMIUM CIGAR
001214,AIR BENDER CHISEL MAUDORO,6,PRMCIGAR,PREMIUM CIGAR
0012345,CIGAR CRTN,4,CIGARCTN,CIGAR CRTN
001346,PREMIUM CIGARETTE,9,PRM CIGT,PREMIUM CIGRT
0013654,ROTHCHILD MADURO,6,PRMCIGAR,PREMIUM CIGAR
001411558,BIGBEN PIPE,5,NOVELTY,NOVELTY
001900,DON CARLOS BELICOSO,6,PRMCIGAR,PREMIUM CIGAR
001901,DON CARLOS PRESIDENTE,6,PRMCIGAR,PREMIUM CIGAR
00208,NO.2 NATURAL SERIE 1926,6,PRMCIGAR,PREMIUM CIGAR
00209,EXCLUSIVOS MADURO 1964,6,PRMCIGAR,PREMIUM CIGAR
002899,5" GLASS PIPE,5,NOVELTY,NOVELTY
003,HANDPIPE,5,NOVELTY,NOVELTY
004,LARGE ASHTRAY,5,NOVELTY,NOVELTY
004561,DIESEL CUTTER,5,NOVELTY,NOVELTY
005,5" THICK,5,NOVELTY,NOVELTY
006,DOUBLE BLOWN HANDPIPE,5,NOVELTY,NOVELTY
007,15ML HOUSE BLEND,NONE,NONE,NONE
008,30ML HOUSE BLEND,NONE,NONE,NONE
00814539014311,NUB CAFE - ESPRESSO,6,PRMCIGAR,PREMIUM CIGAR
00814539014335,NUB CAFE ESPRESSO,6,PRMCIGAR,PREMIUM CIGAR
00814539014359,NUB CAFE - CAPPUCCIN 4X38,6,PRMCIGAR,PREMIUM CIGAR
00814539014373,CAFE CAPPUCCINO 460,6,PRMCIGAR,PREMIUM CIGAR
00814539014397,NUB CAFE - MACCHIATO,6,PRMCIGAR,PREMIUM CIGAR
00814539014410,CAFE MACCHIATO 460,6,PRMCIGAR,PREMIUM CIGAR
008660000156,KING SIZE CONE ZIG-ZAG,1,NONE,NONE
008660000187,ZIG ZAG 6 PACK 1 1/4 CONES,1,NONE,NONE
008660007247,ZIGZAG PAPER BUNDLE,1,NONE,NONE
008660007292,ZIG ZAG UNLBEACHED KING SLIM,1,NONE,NONE
008660007322,ZIG ZAG ULTRA THIN 1.25,1,NONE,NONE
008660007384,ZIGZAG HEMP,1,NONE,NONE
008660007407,ZIG ZAG UNBLEACHED 1 1/4,1,NONE,NONE
008660007698,ZIG ZAG UNBLEACHED CONE 1/1/4,1,NONE,NONE
008660007766,unbleached 3pk cone,1,NONE,NONE
