ItemNum,ItemName,Dept_ID,Cost,Category_ID,Category_Name,AltSku
000000002,PANDA JOY 60ML,ZIIPLAB,0.00000000,NONE,NONE,649275504440
00000004,FRUT 60ML,10,0.00000000,NONE,NONE,685349763061
00000005,MELON BALL 60ML,10,0.00000000,NONE,NONE,685349763238
00000006,VAPE MAID 60ML,10,0.00000000,NONE,NONE,685349763160
0000003,COCONUT H20 60ML,10,0.00000000,NONE,NONE,685349763030
00000170259,DAZZVAPE MECH KIT,2,0.00000000,NONE,NONE,
000308,BAMBINO RDA,6,0.00000000,NONE,NONE,
000310,KENNEDY RDA CLONE,6,0.00000000,NONE,NONE,
000312,HOBO RDA,6,0.00000000,NONE,NONE,
000315,NEMESIS BOX MOD,3,20.00000000,NONE,NONE,
0006419926,vaporesso xros mini,2,0.00000000,NONE,NONE,
00091,Bulb Clearomizer,5,0.00000000,NONE,NONE,
00123,LITHICORE 18650,4,0.00000000,NONE,NONE,001234
0013415350400,OFF THE RECORD SALT,SALT NIC,0.00000000,NONE,NONE,
00304,IPV 5 200W,3,47.00000000,NONE,NONE,
0043131940,VAPORESSO ECO NANP SPRKLG PRPL,2,0.00000000,NONE,NONE,
0043425189,VAPORESSO ECO NANO FOGGY BLUE,2,0.00000000,NONE,NONE,
0043645967,VAPORESSO ECO NANO UNVRSL GREY,2,0.00000000,NONE,NONE,
00856840006135,vocc-t coil,5,0.00000000,NONE,NONE,852401007238
008660006066,ZIG ZAG 1 1/4 UNBLEACHED CONES,1,0.00000000,NONE,NONE,
008660006097,ZIG ZAG 1 1/4 ORG HEMP CONES,1,0.00000000,NONE,NONE,
008660007292,ZIGZAG UNBLEACH KGSLIM,TOBACCO,0.00000000,NONE,NONE,
008660007384,ZIG ZAG ORGHEMP 1 1/4 PAPER EA,TOBACCO,0.00000000,NONE,NONE,
008660007988,ZIGZAG ORGHEMP KINGSLIM,TOBACCO,0.00000000,NONE,NONE,
008660008664,ZZ 70S ULTRA THIN MINI CONES,1,0.00000000,NONE,NONE,
008660008848,ZZ 70S UNBLEACHED CONES 24PACK,1,0.00000000,NONE,NONE,
008660097354,ZIGZAG BR FR ULTRATHIN 1 1/2,TOBACCO,0.00000000,NONE,NONE,
00866246,ZIG ZAG ORANGE 1 1/4 PAPER EA,TOBACCO,0.00000000,NONE,NONE,
00866741,ZIGZAG KING SIZE EA PAPER,TOBACCO,0.00000000,NONE,NONE,
009763697922,APPLE(]MANGO(]ORANGE(]PEACH ICE,ZIIPLAB,0.00000000,NONE,NONE,
009763697946,MR SKY BERRY ICE / GRAPE ICE,ZIIPLAB,0.00000000,NONE,NONE,
009763697960,MR SKY 2IN1 SNOW MINT(] MENTHOL,ZIIPLAB,0.00000000,NONE,NONE,
009763697977,MR SKY LUSH ICE / PINK LEMONAD,ZIIPLAB,0.00000000,NONE,NONE,
009800001026,TIC TAC FRESHMINTS,9,0.00000000,NONE,NONE,
009800001033,TIC TAC ORANGE,9,0.00000000,NONE,NONE,
009800006304,TIC TAC,9,0.00000000,NONE,NONE,
009800007462,TIC TAC,9,0.00000000,NONE,NONE,
